Query	Subject	% Similarity	E Value
CPn0001	CTL0256	73.33	3e-06
CPn0002	CTL0710	100.0	0.064
CPn0003	CTL0258	68.65	4.999999999999998e-151
CPn0004	CTL0259	70.0	0.0
CPn0005	CTL0276	100.0	0.013999999999999999
CPn0006	CTL0011	90.48	0.11
CPn0007	CTL0883	91.67	0.053
CPn0008	CTL0346	100.0	0.045
CPn0009	CTL0549	100.0	0.083
CPn0010.1	CTL0011	100.0	0.51
CPn0012	CTL0775	94.74	1.2
CPn0012	CTL0630	100.0	1.2
CPn0012	CTL0475	94.74	1.2
CPn0012	CTL0008	100.0	1.2
CPn0013	CTL0669	92.59	0.013000000000000001
CPn0014	CTL0250	77.38	4e-09
CPn0016	CTL0374	100.0	0.61
CPn0018	CTL0250	80.36	7e-07
CPn0020	CTL0605	67.81	8e-93
CPn0021	CTL0604	67.07	5.999999999999999e-37
CPn0022	CTL0603	70.63	5.9999999999999995e-12
CPn0023	CTL0602	74.92	0.0
CPn0024	CTL0601	68.53	1e-60
CPn0025	CTL0600	69.07	7.999999999999999e-89
CPn0026	CTL0117	100.0	0.66
CPn0027	CTL0598	74.43	0.0
CPn0028	CTL0007	91.3	0.049
CPn0029	CTL0108	94.44	0.95
CPn0029	CTL0097	94.44	0.95
CPn0030	CTL0597	66.91	7.000000000000001e-18
CPn0031	CTL0596	81.82	5e-45
CPn0032	CTL0595	75.17	0.0
CPn0033	CTL0594	71.4	0.0
CPn0034	CTL0743	90.48	0.96
CPn0034	CTL0283	94.74	0.96
CPn0035	CTL0593	71.15	1e-07
CPn0036	CTL0592	87.8	2e-07
CPn0037	CTL0591	72.09	8e-14
CPn0038	CTL0590	71.24	9.999999999999999e-84
CPn0039	CTL0589	70.96	1e-30
CPn0040	CTL0588	69.35	1.9999999999999997e-73
CPn0041	CTL0041	90.91	0.3
CPn0042	CTL0822	90.91	0.17
CPn0043	CTL0232	95.65	0.12
CPn0044	CTL0666	100.0	0.077
CPn0044	CTL0010	85.19	0.077
CPn0045	CTL0319	100.0	0.14
CPn0047	CTL0540	100.0	1.7
CPn0047	CTL0402	89.47	1.7
CPn0048	CTL0486	100.0	0.001
CPn0049	CTL0081	85.71	0.36
CPn0050	CTL0788	94.44	0.81
CPn0050	CTL0245	90.0	0.81
CPn0050	CTL0113	90.91	0.81
CPn0051	CTL0859	89.47	2.5
CPn0051	CTL0838	94.12	2.5
CPn0051	CTL0763	100.0	2.5
